SAMINATURA BINEFAR;;;;;;;;;;;;;;;;;;;;;;
ARTICULOS GENERAL;;;;;;;;;;;;;;;;;;;;;;

Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F
2667;2667;ginger;UNIDADES;0%;;;NORMAL;;V;C;S; 
1740;1740;ginkgo 6500mg;UNIDADES;10%;;;NORMAL;;V;C;S; 
1951;1951;GINKGO 80;UNIDADES;10%;;;NORMAL;;V;C;S; 
2560;2560;ginkgo biloba;UNIDADES;10%;;;NORMAL;;V;C;S; 
2156;2156;GINKGO BILOBA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2377;2377;GINKGO LEAF;UNIDADES;0%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 17 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2157;2157;ginkgofit;UNIDADES;10%;;;NORMAL;;V;C;S; 
3258;3258;GIRASOL;UNIDADES;10%;;;NORMAL;;V;C;S; 
3393;3393;gloss;UNIDADES;21%;;;NORMAL;;V;C;S; 
3515;3515;GLOSS;UNIDADES;21%;;;NORMAL;;V;C;S; 
2645;2645;glow ginseng;UNIDADES;21%;;;NORMAL;;V;C;S; 
2633;2633;GLOW RICA+ALPHA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2161;2161;glow skin;UNIDADES;21%;;;NORMAL;;V;C;S; 
2644;2644;GLOW TEA+PANTHENOL;UNIDADES;21%;;;NORMAL;;V;C;S; 
3080;3080;glp-1 boster;UNIDADES;0%;;;NORMAL;;V;C;S; 
1814;1814;gluco care;UNIDADES;10%;;;NORMAL;;V;C;S; 
2703;2703;gluco-ampk;UNIDADES;10%;;;NORMAL;;V;C;S; 
2205;2205;GLUCOBEST;UNIDADES;10%;;;NORMAL;;V;C;S; 
2190;2190;GLUCOFIT;UNIDADES;0%;;;NORMAL;;V;C;S; 
2048;2048;GLUCOMANANA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2540;2540;glucomannan+chromium;UNIDADES;0%;;;NORMAL;;V;C;S; 
1931;1931;GLUCOSAMINA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2864;2864;GLUCOSAMINA NUTRLEI;UNIDADES;10%;;;NORMAL;;V;C;S; 
3055;3055;GLUCOSE COMPLEX;UNIDADES;10%;;;NORMAL;;V;C;S; 
2274;2274;glutabig;UNIDADES;10%;;;NORMAL;;V;C;S; 
2273;2273;GLUTABIG;UNIDADES;10%;;;NORMAL;;V;C;S; 
2283;2283;glutamin&magnesium;UNIDADES;10%;;;NORMAL;;V;C;S; 
3458;3458;glutamina;UNIDADES;0%;;;NORMAL;;V;C;S; 
3171;3171;glutathion 250mg;UNIDADES;0%;;;NORMAL;;V;C;S; 
2382;2382;GLUTATHIONE;UNIDADES;0%;;;NORMAL;;V;C;S; 
3170;3170;glutathione 500mg;UNIDADES;0%;;;NORMAL;;V;C;S; 
1909;1909;gluten;UNIDADES;10%;;;NORMAL;;V;C;S; 
3173;3173;glycerin vegetal;UNIDADES;0%;;;NORMAL;;V;C;S; 
3014;3014;GLYNAC+;UNIDADES;10%;;;NORMAL;;V;C;S; 
3211;3211;GOJI;UNIDADES;10%;;;NORMAL;;V;C;S; 
3195;3195;GOJI 200G;UNIDADES;10%;;;NORMAL;;V;C;S; 
3143;3143;GOLD PROPOLIS;UNIDADES;10%;;;NORMAL;;V;C;S; 
1688;1688;gold protien 2kg;UNIDADES;10%;;;NORMAL;;V;C;S; 
2246;2246;golden milk;UNIDADES;10%;;;NORMAL;;V;C;S; 
1418;1418;goma arabiga;UNIDADES;10%;;;NORMAL;;V;C;S; 
2665;2665;gomasio curcuma;UNIDADES;10%;;;NORMAL;;V;C;S; 
2349;2349;good mael;UNIDADES;0%;;;NORMAL;;V;C;S; 
1570;1570;GOOD MORNING;UNIDADES;10%;;;NORMAL;;V;C;S; 
2523;2523;gotu kola;UNIDADES;10%;;;NORMAL;;V;C;S; 
1835;1835;GRAM MASALA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2185;2185;GRANADA MASK;UNIDADES;0%;;;NORMAL;;V;C;S; 
3351;3351;granillo ppelado de almendra;UNIDADES;10%;;;NORMAL;;V;C;S; 
1875;1875;GRANOLA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3438;3438;grapseed oil;UNIDADES;0%;;;NORMAL;;V;C;S; 
2989;2989;graviola;UNIDADES;10%;;;NORMAL;;V;C;S; 
2356;2356;graviola max;UNIDADES;10%;;;NORMAL;;V;C;S; 
3138;3138;green tea extract;UNIDADES;10%;;;NORMAL;;V;C;S; 
1569;1569;greens;UNIDADES;10%;;;NORMAL;;V;C;S; 
3039;3039;grissini sesamo biocop;UNIDADES;10%;;;NORMAL;;V;C;S; 
1738;1738;grow;UNIDADES;10%;;;NORMAL;;V;C;S; 
3445;3445;GRYFFINDOR;UNIDADES;0%;;;NORMAL;;V;C;S; 
2355;2355;GUANABANA;UNIDADES;10%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 18 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2797;2797;guante;UNIDADES;21%;;;NORMAL;;V;C;S; 
1648;1648;gummy bears;UNIDADES;0%;;;NORMAL;;V;C;S; 
2455;2455;HAIR COMPLEX;UNIDADES;10%;;;NORMAL;;V;C;S; 
3435;3435;hand cream;UNIDADES;0%;;;NORMAL;;V;C;S; 
2496;2496;HAPPY NATURA;UNIDADES;10%;;;NORMAL;;V;C;S; 
1845;1845;harina de algarroba;UNIDADES;10%;;;NORMAL;;V;C;S; 
2882;2882;HARINA DE ALGARROBA 250G;UNIDADES;10%;;;NORMAL;;V;C;S; 
3354;3354;harina de almendra;UNIDADES;10%;;;NORMAL;;V;C;S; 
1961;1961;HARINA DE ALMENDRA 100G;UNIDADES;10%;;;NORMAL;;V;C;S; 
1962;1962;harina de almendra 150g;UNIDADES;4%;;;NORMAL;;V;C;S; 
1963;1963;HARINA DE ALMENDRA 500G;UNIDADES;10%;;;NORMAL;;V;C;S; 
2840;2840;HARINA DE ALMENDRA 800G;UNIDADES;4%;;;NORMAL;;V;C;S; 
2883;2883;harina de arroz blanca 500g;UNIDADES;4%;;;NORMAL;;V;C;S; 
3322;3322;harina de avena;UNIDADES;10%;;;NORMAL;;V;C;S; 
2854;2854;HARINA DE BANANA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3323;3323;HARINA DE COCO;UNIDADES;10%;;;NORMAL;;V;C;S; 
3324;3324;harina de maiz;UNIDADES;4%;;;NORMAL;;V;C;S; 
1831;1831;HARINA DE MIJO;UNIDADES;4%;;;NORMAL;;V;C;S; 
3121;3121;HARINA DE PLATANO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2045;2045;HARINA DE SOGRHO;UNIDADES;2%;;;NORMAL;;V;C;S; 
2046;2046;HARINA DE SORGO;UNIDADES;10%;;;NORMAL;;V;C;S; 
3355;3355;HARINA desgrasada;UNIDADES;10%;;;NORMAL;;V;C;S; 
2128;2128;harina mais s/g 1kg;UNIDADES;2%;;;NORMAL;;V;C;S; 
2860;2860;harina sarraceno s/g;UNIDADES;4%;;;NORMAL;;V;C;S; 
2621;2621;harpagofito 50ml;UNIDADES;10%;;;NORMAL;;V;C;S; 
1564;1564;health complex;UNIDADES;10%;;;NORMAL;;V;C;S; 
2204;2204;HELLCORE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2772;2772;hemamalis;UNIDADES;10%;;;NORMAL;;V;C;S; 
2450;2450;HEMATOCURE;UNIDADES;21%;;;NORMAL;;V;C;S; 
3222;3222;HEMO CARE;UNIDADES;0%;;;NORMAL;;V;C;S; 
2353;2353;hemosil;UNIDADES;21%;;;NORMAL;;V;C;S; 
1755;1755;HENNA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3198;3198;herbal fermnt;UNIDADES;10%;;;NORMAL;;V;C;S; 
1802;1802;herbaprolis;UNIDADES;10%;;;NORMAL;;V;C;S; 
2451;2451;HIALURONIC;UNIDADES;21%;;;NORMAL;;V;C;S; 
2962;2962;HIDROLATO DE SALVIA;UNIDADES;21%;;;NORMAL;;V;C;S; 
3051;3051;hidrolato HELICRISO;UNIDADES;21%;;;NORMAL;;V;C;S; 
3049;3049;hidrolato HEMAMALIS;UNIDADES;21%;;;NORMAL;;V;C;S; 
3050;3050;hidrolato jara;UNIDADES;21%;;;NORMAL;;V;C;S; 
2966;2966;hidrolato lavanda;UNIDADES;21%;;;NORMAL;;V;C;S; 
2963;2963;hidrolato neroli;UNIDADES;21%;;;NORMAL;;V;C;S; 
2967;2967;hidrolato ROMERO;UNIDADES;21%;;;NORMAL;;V;C;S; 
2964;2964;hidrolato ROSA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2498;2498;hierba luisa;UNIDADES;10%;;;NORMAL;;V;C;S; 
2657;2657;hierba san juan;UNIDADES;10%;;;NORMAL;;V;C;S; 
3119;3119;HIERRO;UNIDADES;0%;;;NORMAL;;V;C;S; 
3202;3202;hierro aldous;UNIDADES;10%;;;NORMAL;;V;C;S; 
2818;2818;higado de rape;UNIDADES;10%;;;NORMAL;;V;C;S; 
1670;1670;HIGH PROTEIN KEFIR POWDER;UNIDADES;0%;;;NORMAL;;V;C;S; 
2505;2505;higos secos;UNIDADES;10%;;;NORMAL;;V;C;S; 
2942;2942;hilo dental carbon;UNIDADES;21%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 19 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2176;2176;himalaya almond;UNIDADES;0%;;;NORMAL;;V;C;S; 
1974;1974;hinojo;UNIDADES;10%;;;NORMAL;;V;C;S; 
2921;2921;HIPERFITOTENS;UNIDADES;10%;;;NORMAL;;V;C;S; 
1745;1745;HIPERICO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2707;2707;hipervita;UNIDADES;10%;;;NORMAL;;V;C;S; 
3084;3084;HISTABALANCE;UNIDADES;10%;;;NORMAL;;V;C;S; 
1915;1915;HOJAS DE PAPAYA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2830;2830;HORNY GOAT;UNIDADES;0%;;;NORMAL;;V;C;S; 
1188;1188;huevo;UNIDADES;0%;;;NORMAL;;V;C;S; 
3447;3447;HUFFLEPUFF;UNIDADES;0%;;;NORMAL;;V;C;S; 
1932;1932;HUMIFICADOR;UNIDADES;21%;;;NORMAL;;V;C;S; 
2629;2629;HUMMUS;UNIDADES;10%;;;NORMAL;;V;C;S; 
1863;1863;HUMMUS CON BONIATO ENPOLVO;UNIDADES;10%;;;NORMAL;;V;C;S; 
1862;1862;hummus polvo;UNIDADES;10%;;;NORMAL;;V;C;S; 
3058;3058;HYDRO WHEY;UNIDADES;0%;;;NORMAL;;V;C;S; 
2732;2732;HYPER MASS;UNIDADES;0%;;;NORMAL;;V;C;S; 
3348;3348;HYPER MASS 1KG;UNIDADES;10%;;;NORMAL;;V;C;S; 
3070;3070;HYPERMASS;UNIDADES;0%;;;NORMAL;;V;C;S; 
1785;1785;immunity;UNIDADES;10%;;;NORMAL;;V;C;S; 
3126;3126;IMMUNITY;UNIDADES;10%;;;NORMAL;;V;C;S; 
3185;3185;IMMUNITY NUTRALIE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2817;2817;INCESE STICK;UNIDADES;21%;;;NORMAL;;V;C;S; 
2791;2791;incienso;UNIDADES;10%;;;NORMAL;;V;C;S; 
3427;3427;INCIENSO;UNIDADES;21%;;;NORMAL;;V;C;S; 
2659;2659;INFLA-HEAL;UNIDADES;10%;;;NORMAL;;V;C;S; 
3347;3347;infusion;UNIDADES;10%;;;NORMAL;;V;C;S; 
3368;3368;INFUSION;UNIDADES;0%;;;NORMAL;;V;C;S; 
3010;3010;INHALADOR NARIZ;UNIDADES;21%;;;NORMAL;;V;C;S; 
2482;2482;inmuvita;UNIDADES;10%;;;NORMAL;;V;C;S; 
3414;3414;INOSITOL;UNIDADES;0%;;;NORMAL;;V;C;S; 
2821;2821;inositol 500mg now;UNIDADES;0%;;;NORMAL;;V;C;S; 
2833;2833;INOSITOL+CHOLIN;UNIDADES;0%;;;NORMAL;;V;C;S; 
2371;2371;INULINA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3410;3410;islado pro 2kg;UNIDADES;0%;;;NORMAL;;V;C;S; 
2910;2910;ISO 1816G CATALANA;UNIDADES;0%;;;NORMAL;;V;C;S; 
3241;3241;iso avellana;UNIDADES;0%;;;NORMAL;;V;C;S; 
3238;3238;ISO BANAN;UNIDADES;0%;;;NORMAL;;V;C;S; 
3065;3065;ISO BLACK;UNIDADES;0%;;;NORMAL;;V;C;S; 
2911;2911;iso black choco;UNIDADES;0%;;;NORMAL;;V;C;S; 
2913;2913;ISO BLACK FRESA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2912;2912;ISO BLACK VAINILLA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2914;2914;ISO CHOCO;UNIDADES;0%;;;NORMAL;;V;C;S; 
3240;3240;ISO FRESA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2915;2915;iso lemon;UNIDADES;0%;;;NORMAL;;V;C;S; 
2916;2916;ISO MANGO;UNIDADES;0%;;;NORMAL;;V;C;S; 
3239;3239;iso pistacho;UNIDADES;0%;;;NORMAL;;V;C;S; 
3237;3237;ISO PISTACHO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2094;2094;ISO TERAMISU;UNIDADES;10%;;;NORMAL;;V;C;S; 
2917;2917;iso tiramisu;UNIDADES;0%;;;NORMAL;;V;C;S; 
2918;2918;ISO VAINILLA;UNIDADES;0%;;;NORMAL;;V;C;S; 
3112;3112;ISO WHEY;UNIDADES;10%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 20 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2394;2394;isotonic ice tea;UNIDADES;0%;;;NORMAL;;V;C;S; 
2395;2395;ISOTONIC LIMON;UNIDADES;0%;;;NORMAL;;V;C;S; 
2955;2955;jabon arcilla roja;UNIDADES;21%;;;NORMAL;;V;C;S; 
2741;2741;JABON CALENDULA;UNIDADES;21%;;;NORMAL;;V;C;S; 
3078;3078;JABON DE CURCUMA;UNIDADES;21%;;;NORMAL;;V;C;S; 
3218;3218;JABON DE NEEM;UNIDADES;21%;;;NORMAL;;V;C;S; 
3219;3219;jabon de rosas;UNIDADES;21%;;;NORMAL;;V;C;S; 
2954;2954;JABON DEPILAR;UNIDADES;21%;;;NORMAL;;V;C;S; 
2957;2957;jabon higuera;UNIDADES;21%;;;NORMAL;;V;C;S; 
2956;2956;JABON LECHE DE BURRA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2284;2284;JABON NEGRO;UNIDADES;21%;;;NORMAL;;V;C;S; 
2160;2160;JALEA REAL;UNIDADES;10%;;;NORMAL;;V;C;S; 
2517;2517;JENGIBRE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2319;2319;jengibre candi;UNIDADES;10%;;;NORMAL;;V;C;S; 
2242;2242;jingibre deshidratado;UNIDADES;10%;;;NORMAL;;V;C;S; 
3006;3006;JOJOBA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2053;2053;JUGO ALOE VERA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3510;3510;juliana;UNIDADES;10%;;;NORMAL;;V;C;S; 
3165;3165;K2 MK7;UNIDADES;0%;;;NORMAL;;V;C;S; 
1907;1907;KALE;UNIDADES;10%;;;NORMAL;;V;C;S; 
1970;1970;KARITE;UNIDADES;0%;;;NORMAL;;V;C;S; 
3362;3362;kefir cabra;UNIDADES;4%;;;NORMAL;;V;C;S; 
1841;1841;kefir de vaca;UNIDADES;10%;;;NORMAL;;V;C;S; 
1669;1669;KEFIR SUAVE;UNIDADES;4%;;;NORMAL;;V;C;S; 
1692;1692;ketchup;UNIDADES;10%;;;NORMAL;;V;C;S; 
1864;1864;keto cafe;UNIDADES;10%;;;NORMAL;;V;C;S; 
1865;1865;KETO CREAMER;UNIDADES;10%;;;NORMAL;;V;C;S; 
1536;1536;KETOGENIC GOLAGEN;UNIDADES;10%;;;NORMAL;;V;C;S; 
3456;3456;KETONE;UNIDADES;0%;;;NORMAL;;V;C;S; 
3287;3287;KIT DEFENSAS;UNIDADES;21%;;;NORMAL;;V;C;S; 
3289;3289;kit emotiones;UNIDADES;21%;;;NORMAL;;V;C;S; 
2960;2960;kit recarga anti mosqueto;UNIDADES;21%;;;NORMAL;;V;C;S; 
3288;3288;KIT SOS;UNIDADES;21%;;;NORMAL;;V;C;S; 
2685;2685;KOMBUCHA CEREZA;UNIDADES;21%;;;NORMAL;;V;C;S; 
1919;1919;kombucha gin;UNIDADES;21%;;;NORMAL;;V;C;S; 
1721;1721;kong;UNIDADES;10%;;;NORMAL;;V;C;S; 
1722;1722;KONG;UNIDADES;10%;;;NORMAL;;V;C;S; 
1182;1182;kre alkalyn;UNIDADES;10%;;;NORMAL;;V;C;S; 
1777;1777;KRUNCHY AVENA 750G;UNIDADES;10%;;;NORMAL;;V;C;S; 
3037;3037;KRUNCHY CHOCO;UNIDADES;10%;;;NORMAL;;V;C;S; 
1778;1778;krunchy choco 750g;UNIDADES;10%;;;NORMAL;;V;C;S; 
1774;1774;krunchy immune;UNIDADES;10%;;;NORMAL;;V;C;S; 
3042;3042;KRUNCHY SEMILLAS;UNIDADES;10%;;;NORMAL;;V;C;S; 
3103;3103;L-ARGININA 50CAP VITASAN;UNIDADES;10%;;;NORMAL;;V;C;S; 
1795;1795;L-ARGININA now;UNIDADES;0%;;;NORMAL;;V;C;S; 
2446;2446;l-carnitine;UNIDADES;0%;;;NORMAL;;V;C;S; 
2653;2653;l-carnosine;UNIDADES;10%;;;NORMAL;;V;C;S; 
2851;2851;l-glutamina;UNIDADES;10%;;;NORMAL;;V;C;S; 
2652;2652;L-GLUTAMINE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2032;2032;L-GLYCIN zein;UNIDADES;0%;;;NORMAL;;V;C;S; 
2601;2601;l-lpysine swanson;UNIDADES;10%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 21 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
3440;3440;l-lysine;UNIDADES;0%;;;NORMAL;;V;C;S; 
3436;3436;L-LYSINE;UNIDADES;0%;;;NORMAL;;V;C;S; 
2977;2977;L-TAENINE+SUNTEANINE;UNIDADES;0%;;;NORMAL;;V;C;S; 
3225;3225;l-triptofan;UNIDADES;0%;;;NORMAL;;V;C;S; 
2982;2982;l-tyrosine 750mg NOW;UNIDADES;0%;;;NORMAL;;V;C;S; 
2158;2158;LA BOHEME;UNIDADES;21%;;;NORMAL;;V;C;S; 
3146;3146;LA VERA CHAMPO VOLUMEN;UNIDADES;21%;;;NORMAL;;V;C;S; 
1986;1986;la vera sensitiv;UNIDADES;21%;;;NORMAL;;V;C;S; 
2551;2551;la vera spray;UNIDADES;21%;;;NORMAL;;V;C;S; 
2106;2106;LA VERA WHIT LOVE;UNIDADES;21%;;;NORMAL;;V;C;S; 
2107;2107;la vera winter;UNIDADES;21%;;;NORMAL;;V;C;S; 
3404;3404;LA VIDA ALMENDRA;UNIDADES;10%;;;NORMAL;;V;C;S; 
1885;1885;la vida dark choco;UNIDADES;10%;;;NORMAL;;V;C;S; 
3299;3299;LA VIDA VEGAN;UNIDADES;10%;;;NORMAL;;V;C;S; 
2946;2946;LABIAL CALENDULA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2947;2947;labial solar;UNIDADES;21%;;;NORMAL;;V;C;S; 
3406;3406;LAMINAS DE LASAÑA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2285;2285;LAPIZ DE OJO 01;UNIDADES;21%;;;NORMAL;;V;C;S; 
2286;2286;LAPIZ DE OJO 02;UNIDADES;21%;;;NORMAL;;V;C;S; 
2287;2287;LAPIZ DE OJO 03;UNIDADES;21%;;;NORMAL;;V;C;S; 
2289;2289;LAPIZ DE OJO 04;UNIDADES;21%;;;NORMAL;;V;C;S; 
2288;2288;LAPIZ DE OJO 05;UNIDADES;21%;;;NORMAL;;V;C;S; 
2291;2291;lapiz iluminador 01;UNIDADES;21%;;;NORMAL;;V;C;S; 
2290;2290;lapiz iluminador 02;UNIDADES;21%;;;NORMAL;;V;C;S; 
2571;2571;LATA THERMO;UNIDADES;0%;;;NORMAL;;V;C;S; 
2558;2558;laurel;UNIDADES;10%;;;NORMAL;;V;C;S; 
2866;2866;laurel molido;UNIDADES;10%;;;NORMAL;;V;C;S; 
3057;3057;laurel molido 50g;UNIDADES;10%;;;NORMAL;;V;C;S; 
2213;2213;LAVANDA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3403;3403;lavida 600g;UNIDADES;10%;;;NORMAL;;V;C;S; 
2062;2062;lawa jeng;UNIDADES;10%;;;NORMAL;;V;C;S; 
3295;3295;le paine;UNIDADES;10%;;;NORMAL;;V;C;S; 
3088;3088;LEBOULARDI;UNIDADES;10%;;;NORMAL;;V;C;S; 
3232;3232;lecitina de soja;UNIDADES;10%;;;NORMAL;;V;C;S; 
2892;2892;LECHE COCO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2767;2767;LECHE CORPORAL BEBE;UNIDADES;21%;;;NORMAL;;V;C;S; 
2499;2499;LECHE DE ARROZ;UNIDADES;10%;;;NORMAL;;V;C;S; 
1878;1878;LECHE DE AVELLANAS;UNIDADES;10%;;;NORMAL;;V;C;S; 
3363;3363;leche de cabra;UNIDADES;4%;;;NORMAL;;V;C;S; 
2159;2159;leche de coco;UNIDADES;10%;;;NORMAL;;V;C;S; 
1842;1842;LECHE DE VACA;UNIDADES;2%;;;NORMAL;;V;C;S; 
1672;1672;leche en polvo;UNIDADES;0%;;;NORMAL;;V;C;S; 
2080;2080;LECHE ENTERA;UNIDADES;2%;;;NORMAL;;V;C;S; 
2079;2079;leche vaca ENTERA;UNIDADES;2%;;;NORMAL;;V;C;S; 
2859;2859;LECHUGA MAR;UNIDADES;4%;;;NORMAL;;V;C;S; 
3216;3216;LEGHEE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2162;2162;LENVOUTANTE;UNIDADES;21%;;;NORMAL;;V;C;S; 
2544;2544;LERIFORM;UNIDADES;10%;;;NORMAL;;V;C;S; 
2545;2545;LERIFORM NIÑOS;UNIDADES;10%;;;NORMAL;;V;C;S; 
2425;2425;LEVADURA CERV;UNIDADES;10%;;;NORMAL;;V;C;S; 
2365;2365;LEVADURA DESMAGRADA;UNIDADES;10%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 22 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2426;2426;levadura desmg;UNIDADES;10%;;;NORMAL;;V;C;S; 
2714;2714;LEVADURA N BIO;UNIDADES;10%;;;NORMAL;;V;C;S; 
1813;1813;LIBIDO HOMBRE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2378;2378;licorice;UNIDADES;0%;;;NORMAL;;V;C;S; 
2586;2586;lifepro whey CAPUCHINO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2098;2098;lifepro whey CHEESECAKE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2100;2100;lifepro whey CHOCO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2099;2099;lifepro whey fresa y banana;UNIDADES;10%;;;NORMAL;;V;C;S; 
2097;2097;lifepro whey pistacho;UNIDADES;10%;;;NORMAL;;V;C;S; 
2588;2588;lifepro whey SANDIA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2587;2587;lifepro whey stracciatela;UNIDADES;10%;;;NORMAL;;V;C;S; 
2970;2970;LIMPIA CRISTALES;UNIDADES;21%;;;NORMAL;;V;C;S; 
3384;3384;LIMPIA LENGUA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2447;2447;LIMPIADOR MANZANILLA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2431;2431;LINO GRANERO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2428;2428;lino grano vita;UNIDADES;10%;;;NORMAL;;V;C;S; 
2690;2690;LINO MOLIDO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2430;2430;lino, chia, cañamo;UNIDADES;4%;;;NORMAL;;V;C;S; 
2030;2030;LIONS MANE MUSHROOM;UNIDADES;0%;;;NORMAL;;V;C;S; 
2183;2183;lip balm;UNIDADES;0%;;;NORMAL;;V;C;S; 
2753;2753;LIP BALM W;UNIDADES;21%;;;NORMAL;;V;C;S; 
3245;3245;LIP SKIN FOOD;UNIDADES;21%;;;NORMAL;;V;C;S; 
2812;2812;lipbalm;UNIDADES;0%;;;NORMAL;;V;C;S; 
2811;2811;LIPBALM COCOA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2992;2992;lipolit forte;UNIDADES;10%;;;NORMAL;;V;C;S; 
2444;2444;LIPOSOMAL C osavi;UNIDADES;0%;;;NORMAL;;V;C;S; 
2064;2064;LIQUID CHLOROPHEAL;UNIDADES;10%;;;NORMAL;;V;C;S; 
3352;3352;locion antioxidante acai;UNIDADES;10%;;;NORMAL;;V;C;S; 
2757;2757;LOCION CAPILAR;UNIDADES;21%;;;NORMAL;;V;C;S; 
3248;3248;locion citrus;UNIDADES;21%;;;NORMAL;;V;C;S; 
3250;3250;locion granada;UNIDADES;21%;;;NORMAL;;V;C;S; 
2740;2740;locion granada w;UNIDADES;21%;;;NORMAL;;V;C;S; 
3249;3249;LOCION ROSA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2719;2719;locion sante citrico;UNIDADES;21%;;;NORMAL;;V;C;S; 
3247;3247;LOCION SKIN F;UNIDADES;21%;;;NORMAL;;V;C;S; 
3018;3018;LUBRICANTE;UNIDADES;21%;;;NORMAL;;V;C;S; 
3448;3448;lumos;UNIDADES;0%;;;NORMAL;;V;C;S; 
2477;2477;lunchbox;UNIDADES;0%;;;NORMAL;;V;C;S; 
2478;2478;LUNCHBOX;UNIDADES;0%;;;NORMAL;;V;C;S; 
2066;2066;LYCOROSE;UNIDADES;10%;;;NORMAL;;V;C;S; 
1930;1930;maca;UNIDADES;10%;;;NORMAL;;V;C;S; 
1910;1910;MACA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2126;2126;maca andina;UNIDADES;10%;;;NORMAL;;V;C;S; 
2585;2585;MACA ROJA;UNIDADES;10%;;;NORMAL;;V;C;S; 
1336;1336;MACARRONES;UNIDADES;10%;;;NORMAL;;V;C;S; 
1950;1950;macarrones sarraceno;UNIDADES;10%;;;NORMAL;;V;C;S; 
3461;3461;mag;UNIDADES;0%;;;NORMAL;;V;C;S; 
3047;3047;MAG BISG;UNIDADES;10%;;;NORMAL;;V;C;S; 
3201;3201;MAG GUM;UNIDADES;10%;;;NORMAL;;V;C;S; 
2484;2484;mag pamies;UNIDADES;10%;;;NORMAL;;V;C;S; 
