SAMINATURA BINEFAR;;;;;;;;;;;;;;;;;;;;;;
ARTICULOS GENERAL;;;;;;;;;;;;;;;;;;;;;;

Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F
1256;1256;ACEITE DE CARA 100ML;UNIDADES;0%;;;NORMAL;;V;C;S; 
1976;1976;aceite de coco desodorizado;UNIDADES;10%;;;NORMAL;;V;C;S; 
3094;3094;ACEITE DE COCO TOOBIO;UNIDADES;10%;;;NORMAL;;V;C;S; 
1801;1801;ACEITE DE EUCALIPTO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2694;2694;aceite de germen;UNIDADES;10%;;;NORMAL;;V;C;S; 
2553;2553;ACEITE DE JOJOBA;UNIDADES;21%;;;NORMAL;;V;C;S; 
1662;1662;aceite de maracuya;UNIDADES;0%;;;NORMAL;;V;C;S; 
2990;2990;aceite de mejorana;UNIDADES;10%;;;NORMAL;;V;C;S; 
1664;1664;aceite de moringa;UNIDADES;0%;;;NORMAL;;V;C;S; 
1665;1665;ACEITE DE NEEM;UNIDADES;0%;;;NORMAL;;V;C;S; 
974;974;ACEITE DE OLIVA 0,5CL;UNIDADES;5%;;;NORMAL;;V;C;S; 
2592;2592;ACEITE DE ONAGRA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2139;2139;aceite de recino;UNIDADES;21%;;;NORMAL;;V;C;S; 
2366;2366;aceite de sesamo negro;UNIDADES;10%;;;NORMAL;;V;C;S; 
1968;1968;ACEITE DE ZANAHORIA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2975;2975;ACEITE MEJORANA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2738;2738;ACEITE W GRANADA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2140;2140;ACEROLA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2129;2129;acidophilusultra;UNIDADES;10%;;;NORMAL;;V;C;S; 
3253;3253;ACIETE CAPILAR;UNIDADES;21%;;;NORMAL;;V;C;S; 
1706;1706;ACIETE DE OREGANO SURAVITASAN;UNIDADES;10%;;;NORMAL;;V;C;S; 
1799;1799;ACIETE DE ROMERO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2093;2093;ACL;UNIDADES;10%;;;NORMAL;;V;C;S; 
2554;2554;acondicionador;UNIDADES;21%;;;NORMAL;;V;C;S; 
1781;1781;ACONDICIONADOR;UNIDADES;21%;;;NORMAL;;V;C;S; 
2555;2555;ACONDICIONADOR RIZOS;UNIDADES;21%;;;NORMAL;;V;C;S; 
3252;3252;ACONDICIONADOR ROM W;UNIDADES;21%;;;NORMAL;;V;C;S; 
2578;2578;ACONDICIONADOR ROSA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2141;2141;actimincyl;UNIDADES;10%;;;NORMAL;;V;C;S; 
2024;2024;ACTIVE C;UNIDADES;0%;;;NORMAL;;V;C;S; 
2697;2697;achicoria raiz;UNIDADES;10%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 2 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
1827;1827;AGAR AGAR;UNIDADES;4%;;;NORMAL;;V;C;S; 
3184;3184;agar agar tiras;UNIDADES;10%;;;NORMAL;;V;C;S; 
2861;2861;AGARAGAR 100GR;UNIDADES;10%;;;NORMAL;;V;C;S; 
2317;2317;AGAVE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2686;2686;agua alcalina;UNIDADES;10%;;;NORMAL;;V;C;S; 
2566;2566;agua de coco;UNIDADES;10%;;;NORMAL;;V;C;S; 
3375;3375;agua de mar;UNIDADES;10%;;;NORMAL;;V;C;S; 
3341;3341;agua de MAR 5L;UNIDADES;10%;;;NORMAL;;V;C;S; 
2800;2800;AGUA DE MAR LA FINSTRA;UNIDADES;10%;;;NORMAL;;V;C;S; 
1969;1969;agua de rosas 1969;UNIDADES;0%;;;NORMAL;;V;C;S; 
2763;2763;AGUA DENT RATANIA;UNIDADES;21%;;;NORMAL;;V;C;S; 
3418;3418;AGUA MAR;UNIDADES;10%;;;NORMAL;;V;C;S; 
