SAMINATURA BINEFAR;;;;;;;;;;;
ARTICULOS - PROVEEDOR;;;;;;;;;;;

DEPORTE;;
2449;A-TOPIC GEL;;10012- APROLIS;;3,00;13,22;;0;;
;;;;;;;;;;;
2448;a-topic natur;;10012- APROLIS;;3,00;17,72;;0;;
;;;;;;;;;;;
1939;a-v extract;;10012- APROLIS;;3,00;11,25;;0;;
;;;;;;;;;;;
2991;a.c gauteria;;10012- APROLIS;;2,00;4,55;;0;;
;;;;;;;;;;;
3292;a.e alcanfor;;10012- APROLIS;;1,00;6,27;;0;;
;;;;;;;;;;;
2610;A.E ANIS ESTR;;10012- APROLIS;;4,00;4,45;;0;;
;;;;;;;;;;;
2611;A.E BASILICO;;10012- APROLIS;;4,00;7,06;;0;;
;;;;;;;;;;;
2602;A.E CANELA;;10012- APROLIS;;7,00;11,91;;0;;
;;;;;;;;;;;
3054;A.E CIPRES;;10012- APROLIS;;2,00;5,45;;0;;
;;;;;;;;;;;
2604;A.E CITRONELA;;10012- APROLIS;;4,00;4,42;;0;;
;;;;;;;;;;;
2612;A.E INCIENSO;;10012- APROLIS;;4,00;6,57;;0;;
;;;;;;;;;;;
2613;A.E INCIENSO INDIA;;10012- APROLIS;;4,00;7,06;;0;;
;;;;;;;;;;;
3053;A.E LAUREL;;10012- APROLIS;;2,00;7,60;;0;;
;;;;;;;;;;;
2606;A.E LEMONGRASS;;10012- APROLIS;;3,00;4,43;;0;;
;;;;;;;;;;;
3052;a.e limon;;10012- APROLIS;;3,00;5,73;;0;;
;;;;;;;;;;;
2614;A.E MIRRA;;10012- APROLIS;;3,00;8,84;;0;;
;;;;;;;;;;;
2605;A.E NARANJO HOJAS;;10012- APROLIS;;4,00;5,34;;0;;
;;;;;;;;;;;
2615;A.E NIAOULI;;10012- APROLIS;;4,00;5,36;;0;;
;;;;;;;;;;;

ARTICULOS - PROVEEDOR;;;;;Pagina 2 ;;;Fecha : 03/02/2026;;;
2608;A.E PACHULI;;10012- APROLIS;;5,00;9,83;;0;;
;;;;;;;;;;;
2616;A.E PALMAROSA;;10012- APROLIS;;4,00;4,71;;0;;
;;;;;;;;;;;
2607;A.E POMELA;;10012- APROLIS;;4,00;4,46;;0;;
;;;;;;;;;;;
3291;a.e salvia;;10012- APROLIS;;4,00;7,80;;0;;
;;;;;;;;;;;
3290;A.E TOMILLO;;10012- APROLIS;;4,00;8,90;;0;;
;;;;;;;;;;;
2609;A.E YLANG-YLANG;;10012- APROLIS;;7,00;6,40;;0;;
;;;;;;;;;;;

REFRIGERADOS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
738;ABBOT GREEK NATURAL;;10- ECOPLAZA;;24,00;2,22;;0;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1456;ABDODREN;;3- FELIUBADALO;;3,00;15,45;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2514;abedul;;10- ECOPLAZA;;5,00;0,95;;5;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1146;abedul toobio;;10- ECOPLAZA;;11,00;3,48;;0;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1549;absorb-n-zyme;;27- ACTIBIOS;;1,00;16,50;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1999;ac oregano;;3- FELIUBADALO;;2,00;7,45;;0;;
;;;;;;;;;;;
2125;ACAI;;15- orgacicasuperfoods;;6,00;9,05;;0;;
;;;;;;;;;;;

CONGELADOS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
876;ACAI;;2- LA FINESTRASUL CIELO;;8,00;2,85;;0;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
837;ACAI LIOFILIZADO;;25- NUTRICIONSANTE;;6,00;9,83;;20;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2739;aceite arnica;;10019- WELEDA;;2,00;10,95;;0;;
;;;;;;;;;;;
2766;aceite bebe;;10019- WELEDA;;2,00;10,38;;0;;
;;;;;;;;;;;
2737;aceite citrus;;10019- WELEDA;;2,00;10,96;;0;;
;;;;;;;;;;;

ALIMENTACION-ACEITES;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;

ARTICULOS - PROVEEDOR;;;;;Pagina 3 ;;;Fecha : 03/02/2026;;;
321;aceite coco 200ml ecob;;5- ECOBASICS;;30,00;1,66;;0;;
;;;;;;;;;;;
322;ACEITE COCO 500ML ECOB;;5- ECOBASICS;;30,00;3,51;;0;;
;;;;;;;;;;;
108;ACEITE CHIA;;3- FELIUBADALO;;6,00;3,97;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2730;aceite de abedul;;10019- WELEDA;;2,00;14,43;;0;;
;;;;;;;;;;;
1661;ACEITE DE AGUACATE;;10009- faire;;6,00;2,79;;0;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
942;ACEITE DE AGUACATE;;2- LA FINESTRASUL CIELO;;6,00;7,83;;0;;
942;ACEITE DE AGUACATE;;29- LIFE PRO;;1,00;7,83;;5;;
;;;;;;;;;;;

TODAS;;
